,store_nbr,family,year,month,sales
45,1,AUTOMOTIVE,2016,10,131.0
46,1,AUTOMOTIVE,2016,11,116.0
47,1,AUTOMOTIVE,2016,12,109.0
48,1,AUTOMOTIVE,2017,1,107.0
49,1,AUTOMOTIVE,2017,2,98.0
50,1,AUTOMOTIVE,2017,3,118.0
51,1,AUTOMOTIVE,2017,4,137.0
52,1,AUTOMOTIVE,2017,5,108.0
53,1,AUTOMOTIVE,2017,6,138.0
54,1,AUTOMOTIVE,2017,7,147.0
55,1,AUTOMOTIVE,2017,8,71.0
56,1,AUTOMOTIVE,2017,9,0.0
57,1,AUTOMOTIVE,2017,10,0.0
58,1,AUTOMOTIVE,2017,11,0.0
59,1,AUTOMOTIVE,2017,12,0.0
60,1,BABY CARE,2013,1,0.0
61,1,BABY CARE,2013,2,0.0
62,1,BABY CARE,2013,3,0.0
63,1,BABY CARE,2013,4,0.0
64,1,BABY CARE,2013,5,0.0
65,1,BABY CARE,2013,6,0.0
66,1,BABY CARE,2013,7,0.0
67,1,BABY CARE,2013,8,0.0
68,1,BABY CARE,2013,9,0.0
69,1,BABY CARE,2013,10,0.0
70,1,BABY CARE,2013,11,0.0
71,1,BABY CARE,2013,12,0.0
72,1,BABY CARE,2014,1,0.0
73,1,BABY CARE,2014,2,0.0
74,1,BABY CARE,2014,3,0.0
75,1,BABY CARE,2014,4,0.0
76,1,BABY CARE,2014,5,0.0
77,1,BABY CARE,2014,6,0.0
78,1,BABY CARE,2014,7,0.0
79,1,BABY CARE,2014,8,0.0
80,1,BABY CARE,2014,9,0.0
81,1,BABY CARE,2014,10,0.0
82,1,BABY CARE,2014,11,0.0
83,1,BABY CARE,2014,12,0.0
84,1,BABY CARE,2015,1,0.0
85,1,BABY CARE,2015,2,0.0
86,1,BABY CARE,2015,3,0.0
87,1,BABY CARE,2015,4,0.0
88,1,BABY CARE,2015,5,0.0
89,1,BABY CARE,2015,6,0.0
90,1,BABY CARE,2015,7,0.0
91,1,BABY CARE,2015,8,0.0
92,1,BABY CARE,2015,9,0.0
93,1,BABY CARE,2015,10,0.0
94,1,BABY CARE,2015,11,0.0
95,1,BABY CARE,2015,12,0.0
96,1,BABY CARE,2016,1,0.0
97,1,BABY CARE,2016,2,0.0
98,1,BABY CARE,2016,3,0.0
99,1,BABY CARE,2016,4,0.0
100,1,BABY CARE,2016,5,0.0
101,1,BABY CARE,2016,6,0.0
102,1,BABY CARE,2016,7,0.0
103,1,BABY CARE,2016,8,0.0
104,1,BABY CARE,2016,9,0.0
105,1,BABY CARE,2016,10,0.0
106,1,BABY CARE,2016,11,0.0
107,1,BABY CARE,2016,12,0.0
108,1,BABY CARE,2017,1,0.0
109,1,BABY CARE,2017,2,0.0
110,1,BABY CARE,2017,3,0.0
111,1,BABY CARE,2017,4,0.0
112,1,BABY CARE,2017,5,0.0
113,1,BABY CARE,2017,6,0.0
114,1,BABY CARE,2017,7,0.0
115,1,BABY CARE,2017,8,0.0
116,1,BABY CARE,2017,9,0.0
117,1,BABY CARE,2017,10,0.0
118,1,BABY CARE,2017,11,0.0
119,1,BABY CARE,2017,12,0.0
120,1,BEAUTY,2013,1,45.0
121,1,BEAUTY,2013,2,46.0
122,1,BEAUTY,2013,3,53.0
123,1,BEAUTY,2013,4,51.0
124,1,BEAUTY,2013,5,56.0
125,1,BEAUTY,2013,6,45.0
126,1,BEAUTY,2013,7,79.0
127,1,BEAUTY,2013,8,63.0
128,1,BEAUTY,2013,9,54.0
129,1,BEAUTY,2013,10,54.0
130,1,BEAUTY,2013,11,54.0
131,1,BEAUTY,2013,12,48.0
132,1,BEAUTY,2014,1,72.0
133,1,BEAUTY,2014,2,55.0
134,1,BEAUTY,2014,3,70.0
135,1,BEAUTY,2014,4,64.0
136,1,BEAUTY,2014,5,47.0
137,1,BEAUTY,2014,6,53.0
138,1,BEAUTY,2014,7,94.0
139,1,BEAUTY,2014,8,71.0
140,1,BEAUTY,2014,9,67.0
141,1,BEAUTY,2014,10,53.0
142,1,BEAUTY,2014,11,74.0
143,1,BEAUTY,2014,12,88.0
144,1,BEAUTY,2015,1,58.0
145,1,BEAUTY,2015,2,52.0
146,1,BEAUTY,2015,3,49.0
147,1,BEAUTY,2015,4,42.0
148,1,BEAUTY,2015,5,65.0
149,1,BEAUTY,2015,6,106.0
150,1,BEAUTY,2015,7,62.0
151,1,BEAUTY,2015,8,72.0
152,1,BEAUTY,2015,9,75.0
153,1,BEAUTY,2015,10,89.0
154,1,BEAUTY,2015,11,70.0
155,1,BEAUTY,2015,12,84.0
156,1,BEAUTY,2016,1,51.0
157,1,BEAUTY,2016,2,57.0
158,1,BEAUTY,2016,3,76.0
159,1,BEAUTY,2016,4,101.0
160,1,BEAUTY,2016,5,66.0
161,1,BEAUTY,2016,6,83.0
162,1,BEAUTY,2016,7,73.0
163,1,BEAUTY,2016,8,84.0
164,1,BEAUTY,2016,9,118.0
165,1,BEAUTY,2016,10,141.0
166,1,BEAUTY,2016,11,99.0
167,1,BEAUTY,2016,12,91.0
168,1,BEAUTY,2017,1,104.0
169,1,BEAUTY,2017,2,97.0
170,1,BEAUTY,2017,3,97.0
171,1,BEAUTY,2017,4,74.0
172,1,BEAUTY,2017,5,100.0
173,1,BEAUTY,2017,6,102.0
174,1,BEAUTY,2017,7,103.0
175,1,BEAUTY,2017,8,59.0
176,1,BEAUTY,2017,9,0.0
177,1,BEAUTY,2017,10,0.0
178,1,BEAUTY,2017,11,0.0
179,1,BEAUTY,2017,12,0.0
180,1,BEVERAGES,2013,1,28777.0
181,1,BEVERAGES,2013,2,21322.0
182,1,BEVERAGES,2013,3,26560.0
183,1,BEVERAGES,2013,4,26527.0
184,1,BEVERAGES,2013,5,25913.0
185,1,BEVERAGES,2013,6,26806.0
186,1,BEVERAGES,2013,7,25611.0
187,1,BEVERAGES,2013,8,23883.0
188,1,BEVERAGES,2013,9,25837.0
189,1,BEVERAGES,2013,10,26243.0
190,1,BEVERAGES,2013,11,26028.0
191,1,BEVERAGES,2013,12,28441.0
192,1,BEVERAGES,2014,1,58162.0
193,1,BEVERAGES,2014,2,25149.0
194,1,BEVERAGES,2014,3,55088.0
195,1,BEVERAGES,2014,4,29026.0
196,1,BEVERAGES,2014,5,28263.0
197,1,BEVERAGES,2014,6,28613.0
198,1,BEVERAGES,2014,7,59353.0
199,1,BEVERAGES,2014,8,29185.0
200,1,BEVERAGES,2014,9,57604.0
201,1,BEVERAGES,2014,10,59812.0
202,1,BEVERAGES,2014,11,54337.0
203,1,BEVERAGES,2014,12,60749.0
204,1,BEVERAGES,2015,1,30813.0
205,1,BEVERAGES,2015,2,25147.0
206,1,BEVERAGES,2015,3,30714.0
207,1,BEVERAGES,2015,4,29615.0
208,1,BEVERAGES,2015,5,41676.0
209,1,BEVERAGES,2015,6,62045.0
210,1,BEVERAGES,2015,7,57789.0
211,1,BEVERAGES,2015,8,57549.0
212,1,BEVERAGES,2015,9,64641.0
213,1,BEVERAGES,2015,10,59847.0
214,1,BEVERAGES,2015,11,54810.0
215,1,BEVERAGES,2015,12,63233.0
216,1,BEVERAGES,2016,1,60866.0
217,1,BEVERAGES,2016,2,57020.0
218,1,BEVERAGES,2016,3,61839.0
219,1,BEVERAGES,2016,4,69412.0
220,1,BEVERAGES,2016,5,58311.0
221,1,BEVERAGES,2016,6,56627.0
222,1,BEVERAGES,2016,7,57558.0
223,1,BEVERAGES,2016,8,59010.0
224,1,BEVERAGES,2016,9,60684.0
225,1,BEVERAGES,2016,10,65840.0
226,1,BEVERAGES,2016,11,65825.0
227,1,BEVERAGES,2016,12,72385.0
228,1,BEVERAGES,2017,1,71762.0
229,1,BEVERAGES,2017,2,56504.0
230,1,BEVERAGES,2017,3,70927.0
231,1,BEVERAGES,2017,4,63306.0
232,1,BEVERAGES,2017,5,65277.0
233,1,BEVERAGES,2017,6,68627.0
234,1,BEVERAGES,2017,7,67169.0
235,1,BEVERAGES,2017,8,29652.0
236,1,BEVERAGES,2017,9,0.0
237,1,BEVERAGES,2017,10,0.0
238,1,BEVERAGES,2017,11,0.0
239,1,BEVERAGES,2017,12,0.0
240,1,BOOKS,2013,1,0.0
241,1,BOOKS,2013,2,0.0
242,1,BOOKS,2013,3,0.0
243,1,BOOKS,2013,4,0.0
244,1,BOOKS,2013,5,0.0
245,1,BOOKS,2013,6,0.0
246,1,BOOKS,2013,7,0.0
247,1,BOOKS,2013,8,0.0
248,1,BOOKS,2013,9,0.0
249,1,BOOKS,2013,10,0.0
250,1,BOOKS,2013,11,0.0
251,1,BOOKS,2013,12,0.0
252,1,BOOKS,2014,1,0.0
253,1,BOOKS,2014,2,0.0
254,1,BOOKS,2014,3,0.0
255,1,BOOKS,2014,4,0.0
256,1,BOOKS,2014,5,0.0
257,1,BOOKS,2014,6,0.0
258,1,BOOKS,2014,7,0.0
259,1,BOOKS,2014,8,0.0
260,1,BOOKS,2014,9,0.0
261,1,BOOKS,2014,10,0.0
262,1,BOOKS,2014,11,0.0
263,1,BOOKS,2014,12,0.0
264,1,BOOKS,2015,1,0.0
265,1,BOOKS,2015,2,0.0
266,1,BOOKS,2015,3,0.0
267,1,BOOKS,2015,4,0.0
268,1,BOOKS,2015,5,0.0
269,1,BOOKS,2015,6,0.0
270,1,BOOKS,2015,7,0.0
271,1,BOOKS,2015,8,0.0
272,1,BOOKS,2015,9,0.0
273,1,BOOKS,2015,10,0.0
274,1,BOOKS,2015,11,0.0
275,1,BOOKS,2015,12,0.0
276,1,BOOKS,2016,1,0.0
277,1,BOOKS,2016,2,0.0
278,1,BOOKS,2016,3,0.0
279,1,BOOKS,2016,4,0.0
280,1,BOOKS,2016,5,0.0
281,1,BOOKS,2016,6,0.0
282,1,BOOKS,2016,7,0.0
283,1,BOOKS,2016,8,0.0
284,1,BOOKS,2016,9,0.0
285,1,BOOKS,2016,10,26.0
286,1,BOOKS,2016,11,40.0
287,1,BOOKS,2016,12,41.0
288,1,BOOKS,2017,1,26.0
289,1,BOOKS,2017,2,17.0
290,1,BOOKS,2017,3,15.0
291,1,BOOKS,2017,4,13.0
292,1,BOOKS,2017,5,11.0
293,1,BOOKS,2017,6,15.0
294,1,BOOKS,2017,7,7.0
295,1,BOOKS,2017,8,0.0
296,1,BOOKS,2017,9,0.0
297,1,BOOKS,2017,10,0.0
298,1,BOOKS,2017,11,0.0
299,1,BOOKS,2017,12,0.0
300,1,BREAD/BAKERY,2013,1,8559.681
301,1,BREAD/BAKERY,2013,2,7296.435
302,1,BREAD/BAKERY,2013,3,8231.701
303,1,BREAD/BAKERY,2013,4,8756.15
304,1,BREAD/BAKERY,2013,5,8155.529
305,1,BREAD/BAKERY,2013,6,8030.06
306,1,BREAD/BAKERY,2013,7,7743.537
307,1,BREAD/BAKERY,2013,8,7425.057
308,1,BREAD/BAKERY,2013,9,8368.799
309,1,BREAD/BAKERY,2013,10,9023.635
310,1,BREAD/BAKERY,2013,11,8427.332
311,1,BREAD/BAKERY,2013,12,8031.897
312,1,BREAD/BAKERY,2014,1,9304.446
313,1,BREAD/BAKERY,2014,2,8348.182
314,1,BREAD/BAKERY,2014,3,8850.643
315,1,BREAD/BAKERY,2014,4,8395.864
316,1,BREAD/BAKERY,2014,5,9026.033
317,1,BREAD/BAKERY,2014,6,9007.99
318,1,BREAD/BAKERY,2014,7,9870.597
319,1,BREAD/BAKERY,2014,8,10044.434
320,1,BREAD/BAKERY,2014,9,10840.349
321,1,BREAD/BAKERY,2014,10,10888.608
322,1,BREAD/BAKERY,2014,11,9828.258
323,1,BREAD/BAKERY,2014,12,10017.093
324,1,BREAD/BAKERY,2015,1,11550.134
325,1,BREAD/BAKERY,2015,2,9558.5205
326,1,BREAD/BAKERY,2015,3,11312.273
327,1,BREAD/BAKERY,2015,4,11095.0205
328,1,BREAD/BAKERY,2015,5,11119.325
329,1,BREAD/BAKERY,2015,6,11187.343
330,1,BREAD/BAKERY,2015,7,11824.308
331,1,BREAD/BAKERY,2015,8,11106.507
332,1,BREAD/BAKERY,2015,9,11632.699
333,1,BREAD/BAKERY,2015,10,11626.027
334,1,BREAD/BAKERY,2015,11,10874.701
335,1,BREAD/BAKERY,2015,12,10635.253
336,1,BREAD/BAKERY,2016,1,11001.805
337,1,BREAD/BAKERY,2016,2,10208.172
338,1,BREAD/BAKERY,2016,3,11845.904
339,1,BREAD/BAKERY,2016,4,12087.514
340,1,BREAD/BAKERY,2016,5,12652.612
341,1,BREAD/BAKERY,2016,6,12768.057
342,1,BREAD/BAKERY,2016,7,12206.058
343,1,BREAD/BAKERY,2016,8,11605.158
344,1,BREAD/BAKERY,2016,9,12174.787
345,1,BREAD/BAKERY,2016,10,12263.368
346,1,BREAD/BAKERY,2016,11,11017.191
347,1,BREAD/BAKERY,2016,12,11164.869
348,1,BREAD/BAKERY,2017,1,12084.37
349,1,BREAD/BAKERY,2017,2,10433.013
350,1,BREAD/BAKERY,2017,3,12773.988
351,1,BREAD/BAKERY,2017,4,10710.385
352,1,BREAD/BAKERY,2017,5,11065.726
353,1,BREAD/BAKERY,2017,6,10930.863
354,1,BREAD/BAKERY,2017,7,10411.147
355,1,BREAD/BAKERY,2017,8,4592.799
356,1,BREAD/BAKERY,2017,9,0.0
357,1,BREAD/BAKERY,2017,10,0.0
358,1,BREAD/BAKERY,2017,11,0.0
359,1,BREAD/BAKERY,2017,12,0.0
360,1,CELEBRATION,2013,1,0.0
361,1,CELEBRATION,2013,2,0.0
362,1,CELEBRATION,2013,3,0.0
363,1,CELEBRATION,2013,4,0.0
364,1,CELEBRATION,2013,5,0.0
365,1,CELEBRATION,2013,6,0.0
366,1,CELEBRATION,2013,7,0.0
367,1,CELEBRATION,2013,8,0.0
368,1,CELEBRATION,2013,9,0.0
369,1,CELEBRATION,2013,10,0.0
370,1,CELEBRATION,2013,11,0.0
371,1,CELEBRATION,2013,12,0.0
372,1,CELEBRATION,2014,1,442.0
373,1,CELEBRATION,2014,2,0.0
374,1,CELEBRATION,2014,3,412.0
375,1,CELEBRATION,2014,4,0.0
376,1,CELEBRATION,2014,5,0.0
377,1,CELEBRATION,2014,6,0.0
378,1,CELEBRATION,2014,7,334.0
379,1,CELEBRATION,2014,8,0.0
380,1,CELEBRATION,2014,9,470.0
381,1,CELEBRATION,2014,10,1704.0
382,1,CELEBRATION,2014,11,464.0
383,1,CELEBRATION,2014,12,422.0
384,1,CELEBRATION,2015,1,0.0
385,1,CELEBRATION,2015,2,0.0
386,1,CELEBRATION,2015,3,0.0
387,1,CELEBRATION,2015,4,0.0
388,1,CELEBRATION,2015,5,0.0
389,1,CELEBRATION,2015,6,430.0
390,1,CELEBRATION,2015,7,462.0
391,1,CELEBRATION,2015,8,436.0
392,1,CELEBRATION,2015,9,488.0
393,1,CELEBRATION,2015,10,563.0
394,1,CELEBRATION,2015,11,439.0
395,1,CELEBRATION,2015,12,648.0
396,1,CELEBRATION,2016,1,438.0
397,1,CELEBRATION,2016,2,428.0
398,1,CELEBRATION,2016,3,413.0
399,1,CELEBRATION,2016,4,524.0
400,1,CELEBRATION,2016,5,406.0
401,1,CELEBRATION,2016,6,476.0
402,1,CELEBRATION,2016,7,496.0
403,1,CELEBRATION,2016,8,452.0
404,1,CELEBRATION,2016,9,500.0
405,1,CELEBRATION,2016,10,562.0
406,1,CELEBRATION,2016,11,413.0
407,1,CELEBRATION,2016,12,619.0
408,1,CELEBRATION,2017,1,405.0
409,1,CELEBRATION,2017,2,376.0
410,1,CELEBRATION,2017,3,498.0
411,1,CELEBRATION,2017,4,467.0
412,1,CELEBRATION,2017,5,460.0
413,1,CELEBRATION,2017,6,501.0
414,1,CELEBRATION,2017,7,481.0
415,1,CELEBRATION,2017,8,157.0
416,1,CELEBRATION,2017,9,0.0
417,1,CELEBRATION,2017,10,0.0
418,1,CELEBRATION,2017,11,0.0
419,1,CELEBRATION,2017,12,0.0
420,1,CLEANING,2013,1,20388.0
421,1,CLEANING,2013,2,16373.0
422,1,CLEANING,2013,3,18370.0
423,1,CLEANING,2013,4,18900.0
424,1,CLEANING,2013,5,18755.0
425,1,CLEANING,2013,6,17884.0
426,1,CLEANING,2013,7,18525.0
427,1,CLEANING,2013,8,17846.0
428,1,CLEANING,2013,9,17593.0
429,1,CLEANING,2013,10,18494.0
430,1,CLEANING,2013,11,17583.0
431,1,CLEANING,2013,12,19313.0
432,1,CLEANING,2014,1,20156.0
433,1,CLEANING,2014,2,16878.0
434,1,CLEANING,2014,3,18919.0
435,1,CLEANING,2014,4,17042.0
436,1,CLEANING,2014,5,18658.0
437,1,CLEANING,2014,6,18518.0
438,1,CLEANING,2014,7,19686.0
439,1,CLEANING,2014,8,18578.0
440,1,CLEANING,2014,9,19700.0
441,1,CLEANING,2014,10,20237.0
442,1,CLEANING,2014,11,18667.0
443,1,CLEANING,2014,12,20722.0
444,1,CLEANING,2015,1,21489.0
445,1,CLEANING,2015,2,17746.0
446,1,CLEANING,2015,3,20702.0
447,1,CLEANING,2015,4,20667.0
448,1,CLEANING,2015,5,20116.0
449,1,CLEANING,2015,6,19535.0
450,1,CLEANING,2015,7,19965.0
451,1,CLEANING,2015,8,19219.0
452,1,CLEANING,2015,9,20516.0
453,1,CLEANING,2015,10,19801.0
454,1,CLEANING,2015,11,18719.0
455,1,CLEANING,2015,12,21665.0
456,1,CLEANING,2016,1,21122.0
457,1,CLEANING,2016,2,18011.0
458,1,CLEANING,2016,3,19127.0
459,1,CLEANING,2016,4,22929.0
460,1,CLEANING,2016,5,19850.0
461,1,CLEANING,2016,6,19302.0
462,1,CLEANING,2016,7,20436.0
463,1,CLEANING,2016,8,18995.0
464,1,CLEANING,2016,9,19579.0
465,1,CLEANING,2016,10,20424.0
466,1,CLEANING,2016,11,19063.0
467,1,CLEANING,2016,12,21408.0
468,1,CLEANING,2017,1,21153.0
469,1,CLEANING,2017,2,17720.0
470,1,CLEANING,2017,3,22260.0
471,1,CLEANING,2017,4,18926.0
472,1,CLEANING,2017,5,20968.0
473,1,CLEANING,2017,6,20189.0
474,1,CLEANING,2017,7,20313.0
475,1,CLEANING,2017,8,8825.0
476,1,CLEANING,2017,9,0.0
477,1,CLEANING,2017,10,0.0
478,1,CLEANING,2017,11,0.0
479,1,CLEANING,2017,12,0.0
480,1,DAIRY,2013,1,11789.0
481,1,DAIRY,2013,2,10572.0
482,1,DAIRY,2013,3,12768.0
483,1,DAIRY,2013,4,12185.0
484,1,DAIRY,2013,5,12335.0
485,1,DAIRY,2013,6,11923.0
486,1,DAIRY,2013,7,12504.0
487,1,DAIRY,2013,8,11844.0
488,1,DAIRY,2013,9,12142.0
489,1,DAIRY,2013,10,12668.0
490,1,DAIRY,2013,11,15953.0
491,1,DAIRY,2013,12,17851.0
492,1,DAIRY,2014,1,19403.0
493,1,DAIRY,2014,2,16165.0
494,1,DAIRY,2014,3,18516.0
495,1,DAIRY,2014,4,18369.0
496,1,DAIRY,2014,5,18562.0
497,1,DAIRY,2014,6,17635.0
498,1,DAIRY,2014,7,18989.0
499,1,DAIRY,2014,8,17172.0
500,1,DAIRY,2014,9,19607.0
501,1,DAIRY,2014,10,19901.0
502,1,DAIRY,2014,11,18593.0
503,1,DAIRY,2014,12,20602.0
504,1,DAIRY,2015,1,19090.0
505,1,DAIRY,2015,2,16604.0
506,1,DAIRY,2015,3,20651.0
507,1,DAIRY,2015,4,19535.0
508,1,DAIRY,2015,5,21008.0
509,1,DAIRY,2015,6,21445.0
510,1,DAIRY,2015,7,20912.0
511,1,DAIRY,2015,8,19916.0
512,1,DAIRY,2015,9,20463.0
513,1,DAIRY,2015,10,21606.0
514,1,DAIRY,2015,11,21028.0
515,1,DAIRY,2015,12,23065.0
516,1,DAIRY,2016,1,22474.0
517,1,DAIRY,2016,2,20116.0
518,1,DAIRY,2016,3,22763.0
519,1,DAIRY,2016,4,22700.0
520,1,DAIRY,2016,5,22922.0
521,1,DAIRY,2016,6,22680.0
522,1,DAIRY,2016,7,22457.0
523,1,DAIRY,2016,8,21094.0
524,1,DAIRY,2016,9,21513.0
525,1,DAIRY,2016,10,22975.0
526,1,DAIRY,2016,11,21520.0
527,1,DAIRY,2016,12,23018.0
528,1,DAIRY,2017,1,23383.0
529,1,DAIRY,2017,2,19846.0
530,1,DAIRY,2017,3,25148.0
531,1,DAIRY,2017,4,22035.0
532,1,DAIRY,2017,5,22333.0
533,1,DAIRY,2017,6,21653.0
534,1,DAIRY,2017,7,21265.0
535,1,DAIRY,2017,8,9088.0
536,1,DAIRY,2017,9,0.0
537,1,DAIRY,2017,10,0.0
538,1,DAIRY,2017,11,0.0
539,1,DAIRY,2017,12,0.0
540,1,DELI,2013,1,3425.182
541,1,DELI,2013,2,2819.016
542,1,DELI,2013,3,3363.441
543,1,DELI,2013,4,3635.464
544,1,DELI,2013,5,3574.937
545,1,DELI,2013,6,3163.222
546,1,DELI,2013,7,3089.748
547,1,DELI,2013,8,3080.631
548,1,DELI,2013,9,3211.56
549,1,DELI,2013,10,3354.434
550,1,DELI,2013,11,3401.418
551,1,DELI,2013,12,3300.1
552,1,DELI,2014,1,3407.8992
553,1,DELI,2014,2,3017.8325
554,1,DELI,2014,3,3029.8545
555,1,DELI,2014,4,3080.9297
556,1,DELI,2014,5,3348.8215
557,1,DELI,2014,6,3336.7805
558,1,DELI,2014,7,3269.142
559,1,DELI,2014,8,3030.14
560,1,DELI,2014,9,3243.461
561,1,DELI,2014,10,3206.462
562,1,DELI,2014,11,3369.8591
563,1,DELI,2014,12,3973.772
564,1,DELI,2015,1,4323.134
565,1,DELI,2015,2,3745.309
566,1,DELI,2015,3,4321.803
567,1,DELI,2015,4,4227.182
568,1,DELI,2015,5,4396.299
569,1,DELI,2015,6,4434.922
570,1,DELI,2015,7,4531.734
571,1,DELI,2015,8,4121.354
572,1,DELI,2015,9,4745.596
573,1,DELI,2015,10,4517.134
574,1,DELI,2015,11,4026.515
575,1,DELI,2015,12,4373.744
576,1,DELI,2016,1,3902.879
577,1,DELI,2016,2,3538.2751
578,1,DELI,2016,3,3766.204
579,1,DELI,2016,4,3929.18
580,1,DELI,2016,5,3772.9111
581,1,DELI,2016,6,3840.076
582,1,DELI,2016,7,3777.825
583,1,DELI,2016,8,3846.355
584,1,DELI,2016,9,3816.148
585,1,DELI,2016,10,3931.712
586,1,DELI,2016,11,3888.763
587,1,DELI,2016,12,4199.672
588,1,DELI,2017,1,4030.974
589,1,DELI,2017,2,3678.932
590,1,DELI,2017,3,4598.343
591,1,DELI,2017,4,4091.378
592,1,DELI,2017,5,4031.5488
593,1,DELI,2017,6,4022.359
594,1,DELI,2017,7,4133.424
595,1,DELI,2017,8,1741.286
596,1,DELI,2017,9,0.0
597,1,DELI,2017,10,0.0
598,1,DELI,2017,11,0.0
599,1,DELI,2017,12,0.0
600,1,EGGS,2013,1,4573.0
601,1,EGGS,2013,2,3886.0
602,1,EGGS,2013,3,4548.0
603,1,EGGS,2013,4,4545.0
604,1,EGGS,2013,5,4466.0
605,1,EGGS,2013,6,4329.0
606,1,EGGS,2013,7,4500.0
607,1,EGGS,2013,8,3992.0
608,1,EGGS,2013,9,3989.0
609,1,EGGS,2013,10,4416.0
610,1,EGGS,2013,11,4199.0
611,1,EGGS,2013,12,4014.0
612,1,EGGS,2014,1,4775.0
613,1,EGGS,2014,2,4107.0
614,1,EGGS,2014,3,4613.0
615,1,EGGS,2014,4,4410.0
616,1,EGGS,2014,5,4451.0
617,1,EGGS,2014,6,4213.0
618,1,EGGS,2014,7,4368.0
619,1,EGGS,2014,8,4179.0
620,1,EGGS,2014,9,4517.0
621,1,EGGS,2014,10,4691.0
622,1,EGGS,2014,11,4228.0
623,1,EGGS,2014,12,4191.0
624,1,EGGS,2015,1,4483.0
625,1,EGGS,2015,2,3969.0
626,1,EGGS,2015,3,4525.0
627,1,EGGS,2015,4,4257.0
628,1,EGGS,2015,5,4516.0
629,1,EGGS,2015,6,4542.0
630,1,EGGS,2015,7,4460.0
631,1,EGGS,2015,8,4241.0
632,1,EGGS,2015,9,4272.0
633,1,EGGS,2015,10,4327.0
634,1,EGGS,2015,11,3981.0
635,1,EGGS,2015,12,4230.0
636,1,EGGS,2016,1,4417.0
637,1,EGGS,2016,2,4088.0
638,1,EGGS,2016,3,4426.0
639,1,EGGS,2016,4,4228.0
640,1,EGGS,2016,5,4144.0
641,1,EGGS,2016,6,3920.0
642,1,EGGS,2016,7,4143.0
643,1,EGGS,2016,8,3826.0
644,1,EGGS,2016,9,3819.0
645,1,EGGS,2016,10,4137.0
646,1,EGGS,2016,11,3841.0
647,1,EGGS,2016,12,4037.0
648,1,EGGS,2017,1,4225.0
649,1,EGGS,2017,2,3543.0
650,1,EGGS,2017,3,4644.0
651,1,EGGS,2017,4,4066.0
652,1,EGGS,2017,5,4172.0
653,1,EGGS,2017,6,4697.0
654,1,EGGS,2017,7,4254.0
655,1,EGGS,2017,8,1876.0
656,1,EGGS,2017,9,0.0
657,1,EGGS,2017,10,0.0
658,1,EGGS,2017,11,0.0
659,1,EGGS,2017,12,0.0
660,1,FROZEN FOODS,2013,1,2107.091
661,1,FROZEN FOODS,2013,2,1913.742
662,1,FROZEN FOODS,2013,3,2498.886
663,1,FROZEN FOODS,2013,4,3201.428
664,1,FROZEN FOODS,2013,5,2797.204
665,1,FROZEN FOODS,2013,6,3313.055
666,1,FROZEN FOODS,2013,7,3428.599
667,1,FROZEN FOODS,2013,8,3038.25
668,1,FROZEN FOODS,2013,9,3214.171
669,1,FROZEN FOODS,2013,10,3280.627
670,1,FROZEN FOODS,2013,11,3536.252
671,1,FROZEN FOODS,2013,12,9786.524
