,store_nbr,family,year,sales
111,1,"LIQUOR,WINE,BEER",2014,35169.0
112,1,"LIQUOR,WINE,BEER",2015,40634.0
113,1,"LIQUOR,WINE,BEER",2016,40093.0
114,1,"LIQUOR,WINE,BEER",2017,20856.0
115,1,MAGAZINES,2013,0.0
116,1,MAGAZINES,2014,333.0
117,1,MAGAZINES,2015,971.0
118,1,MAGAZINES,2016,2554.0
119,1,MAGAZINES,2017,1541.0
120,1,MEATS,2013,115073.08
121,1,MEATS,2014,114902.75
122,1,MEATS,2015,117742.56
123,1,MEATS,2016,108956.68
124,1,MEATS,2017,70933.23
125,1,PERSONAL CARE,2013,33563.0
126,1,PERSONAL CARE,2014,44763.0
127,1,PERSONAL CARE,2015,51237.0
128,1,PERSONAL CARE,2016,54116.0
129,1,PERSONAL CARE,2017,33855.0
130,1,PET SUPPLIES,2013,0.0
131,1,PET SUPPLIES,2014,1307.0
132,1,PET SUPPLIES,2015,1230.0
133,1,PET SUPPLIES,2016,1981.0
134,1,PET SUPPLIES,2017,1332.0
135,1,PLAYERS AND ELECTRONICS,2013,0.0
136,1,PLAYERS AND ELECTRONICS,2014,1463.0
137,1,PLAYERS AND ELECTRONICS,2015,1863.0
138,1,PLAYERS AND ELECTRONICS,2016,3611.0
139,1,PLAYERS AND ELECTRONICS,2017,1976.0
140,1,POULTRY,2013,70779.65
141,1,POULTRY,2014,122588.09
142,1,POULTRY,2015,108054.66
143,1,POULTRY,2016,105174.18
144,1,POULTRY,2017,72024.79
145,1,PREPARED FOODS,2013,23108.06
146,1,PREPARED FOODS,2014,30528.72
147,1,PREPARED FOODS,2015,32756.758
148,1,PREPARED FOODS,2016,31922.734
149,1,PREPARED FOODS,2017,17663.287
150,1,PRODUCE,2013,1660.0
151,1,PRODUCE,2014,483904.8
152,1,PRODUCE,2015,511959.22
153,1,PRODUCE,2016,876821.75
154,1,PRODUCE,2017,568984.2
155,1,SCHOOL AND OFFICE SUPPLIES,2013,0.0
156,1,SCHOOL AND OFFICE SUPPLIES,2014,63.0
157,1,SCHOOL AND OFFICE SUPPLIES,2015,80.0
158,1,SCHOOL AND OFFICE SUPPLIES,2016,100.0
159,1,SCHOOL AND OFFICE SUPPLIES,2017,46.0
160,1,SEAFOOD,2013,8541.94
161,1,SEAFOOD,2014,9668.597
162,1,SEAFOOD,2015,9580.47
163,1,SEAFOOD,2016,9639.274
164,1,SEAFOOD,2017,6258.729
165,10,AUTOMOTIVE,2013,1058.0
166,10,AUTOMOTIVE,2014,1275.0
167,10,AUTOMOTIVE,2015,1087.0
168,10,AUTOMOTIVE,2016,1180.0
169,10,AUTOMOTIVE,2017,592.0
170,10,BABY CARE,2013,0.0
171,10,BABY CARE,2014,270.0
172,10,BABY CARE,2015,12.0
173,10,BABY CARE,2016,155.0
174,10,BABY CARE,2017,24.0
175,10,BEAUTY,2013,481.0
176,10,BEAUTY,2014,503.0
177,10,BEAUTY,2015,395.0
178,10,BEAUTY,2016,536.0
179,10,BEAUTY,2017,397.0
180,10,BEVERAGES,2013,185008.0
181,10,BEVERAGES,2014,311794.0
182,10,BEVERAGES,2015,325228.0
183,10,BEVERAGES,2016,402413.0
184,10,BEVERAGES,2017,282898.0
185,10,BOOKS,2013,0.0
186,10,BOOKS,2014,0.0
187,10,BOOKS,2015,0.0
188,10,BOOKS,2016,0.0
189,10,BOOKS,2017,0.0
190,10,BREAD/BAKERY,2013,41769.0
191,10,BREAD/BAKERY,2014,43938.0
192,10,BREAD/BAKERY,2015,41828.0
193,10,BREAD/BAKERY,2016,39806.0
194,10,BREAD/BAKERY,2017,24080.0
195,10,CELEBRATION,2013,0.0
196,10,CELEBRATION,2014,1114.0
197,10,CELEBRATION,2015,927.0
198,10,CELEBRATION,2016,1485.0
199,10,CELEBRATION,2017,888.0
200,10,CLEANING,2013,281881.0
201,10,CLEANING,2014,288789.0
202,10,CLEANING,2015,297125.0
203,10,CLEANING,2016,270791.0
204,10,CLEANING,2017,171244.0
205,10,DAIRY,2013,42393.0
206,10,DAIRY,2014,103572.0
207,10,DAIRY,2015,90471.0
208,10,DAIRY,2016,109777.0
209,10,DAIRY,2017,76346.0
210,10,DELI,2013,72392.0
211,10,DELI,2014,88189.0
212,10,DELI,2015,103258.0
213,10,DELI,2016,95009.0
214,10,DELI,2017,60763.0
215,10,EGGS,2013,14301.0
216,10,EGGS,2014,20541.0
217,10,EGGS,2015,19314.0
218,10,EGGS,2016,18949.0
219,10,EGGS,2017,9161.0
220,10,FROZEN FOODS,2013,10538.587
221,10,FROZEN FOODS,2014,15520.524
222,10,FROZEN FOODS,2015,21108.373
223,10,FROZEN FOODS,2016,18331.055
224,10,FROZEN FOODS,2017,7759.628
225,10,GROCERY I,2013,815619.0
226,10,GROCERY I,2014,854098.56
227,10,GROCERY I,2015,892728.4
228,10,GROCERY I,2016,960964.4
229,10,GROCERY I,2017,602809.94
230,10,GROCERY II,2013,1517.0
231,10,GROCERY II,2014,1234.0
232,10,GROCERY II,2015,1166.0
233,10,GROCERY II,2016,1295.0
234,10,GROCERY II,2017,1018.0
235,10,HARDWARE,2013,231.0
236,10,HARDWARE,2014,379.0
237,10,HARDWARE,2015,325.0
238,10,HARDWARE,2016,117.0
239,10,HARDWARE,2017,99.0
240,10,HOME AND KITCHEN I,2013,0.0
241,10,HOME AND KITCHEN I,2014,2839.0
242,10,HOME AND KITCHEN I,2015,3730.0
243,10,HOME AND KITCHEN I,2016,3240.0
244,10,HOME AND KITCHEN I,2017,2628.0
245,10,HOME AND KITCHEN II,2013,0.0
246,10,HOME AND KITCHEN II,2014,1355.0
247,10,HOME AND KITCHEN II,2015,3567.0
248,10,HOME AND KITCHEN II,2016,2378.0
249,10,HOME AND KITCHEN II,2017,1787.0
250,10,HOME APPLIANCES,2013,90.0
251,10,HOME APPLIANCES,2014,91.0
252,10,HOME APPLIANCES,2015,54.0
253,10,HOME APPLIANCES,2016,35.0
254,10,HOME APPLIANCES,2017,34.0
255,10,HOME CARE,2013,0.0
256,10,HOME CARE,2014,47289.0
257,10,HOME CARE,2015,46949.0
258,10,HOME CARE,2016,67531.0
259,10,HOME CARE,2017,39776.0
260,10,LADIESWEAR,2013,0.0
261,10,LADIESWEAR,2014,1339.0
262,10,LADIESWEAR,2015,1278.0
263,10,LADIESWEAR,2016,1639.0
264,10,LADIESWEAR,2017,1234.0
265,10,LAWN AND GARDEN,2013,0.0
266,10,LAWN AND GARDEN,2014,9.0
267,10,LAWN AND GARDEN,2015,17.0
268,10,LAWN AND GARDEN,2016,0.0
269,10,LAWN AND GARDEN,2017,0.0
270,10,LINGERIE,2013,1363.0
271,10,LINGERIE,2014,2279.0
272,10,LINGERIE,2015,854.0
273,10,LINGERIE,2016,494.0
274,10,LINGERIE,2017,463.0
275,10,"LIQUOR,WINE,BEER",2013,4355.0
276,10,"LIQUOR,WINE,BEER",2014,4944.0
277,10,"LIQUOR,WINE,BEER",2015,4513.0
278,10,"LIQUOR,WINE,BEER",2016,4143.0
279,10,"LIQUOR,WINE,BEER",2017,2536.0
280,10,MAGAZINES,2013,0.0
281,10,MAGAZINES,2014,10.0
282,10,MAGAZINES,2015,81.0
283,10,MAGAZINES,2016,186.0
284,10,MAGAZINES,2017,140.0
285,10,MEATS,2013,84307.97
286,10,MEATS,2014,75922.27
287,10,MEATS,2015,59895.82
288,10,MEATS,2016,58587.344
289,10,MEATS,2017,35957.117
290,10,PERSONAL CARE,2013,58383.0
291,10,PERSONAL CARE,2014,61656.0
292,10,PERSONAL CARE,2015,69340.0
293,10,PERSONAL CARE,2016,69092.0
294,10,PERSONAL CARE,2017,42312.0
295,10,PET SUPPLIES,2013,0.0
296,10,PET SUPPLIES,2014,68.0
297,10,PET SUPPLIES,2015,65.0
298,10,PET SUPPLIES,2016,213.0
299,10,PET SUPPLIES,2017,211.0
300,10,PLAYERS AND ELECTRONICS,2013,0.0
301,10,PLAYERS AND ELECTRONICS,2014,617.0
302,10,PLAYERS AND ELECTRONICS,2015,716.0
303,10,PLAYERS AND ELECTRONICS,2016,1613.0
304,10,PLAYERS AND ELECTRONICS,2017,959.0
305,10,POULTRY,2013,52446.402
306,10,POULTRY,2014,80195.89
307,10,POULTRY,2015,68948.03
308,10,POULTRY,2016,59978.27
309,10,POULTRY,2017,33383.395
310,10,PREPARED FOODS,2013,4303.0
311,10,PREPARED FOODS,2014,4930.0
312,10,PREPARED FOODS,2015,7347.0
313,10,PREPARED FOODS,2016,12090.0
314,10,PREPARED FOODS,2017,6410.0
315,10,PRODUCE,2013,0.0
316,10,PRODUCE,2014,55266.863
317,10,PRODUCE,2015,52224.71
318,10,PRODUCE,2016,87361.64
319,10,PRODUCE,2017,55885.668
320,10,SCHOOL AND OFFICE SUPPLIES,2013,0.0
321,10,SCHOOL AND OFFICE SUPPLIES,2014,300.0
322,10,SCHOOL AND OFFICE SUPPLIES,2015,145.0
323,10,SCHOOL AND OFFICE SUPPLIES,2016,374.0
324,10,SCHOOL AND OFFICE SUPPLIES,2017,39.0
325,10,SEAFOOD,2013,755.0
326,10,SEAFOOD,2014,867.0
327,10,SEAFOOD,2015,1358.0
328,10,SEAFOOD,2016,1427.0
329,10,SEAFOOD,2017,438.0
330,11,AUTOMOTIVE,2013,2061.0
331,11,AUTOMOTIVE,2014,2408.0
332,11,AUTOMOTIVE,2015,2410.0
333,11,AUTOMOTIVE,2016,2480.0
334,11,AUTOMOTIVE,2017,1907.0
335,11,BABY CARE,2013,0.0
336,11,BABY CARE,2014,18.0
337,11,BABY CARE,2015,45.0
338,11,BABY CARE,2016,151.0
339,11,BABY CARE,2017,104.0
340,11,BEAUTY,2013,1201.0
341,11,BEAUTY,2014,1316.0
342,11,BEAUTY,2015,1317.0
343,11,BEAUTY,2016,2834.0
344,11,BEAUTY,2017,1341.0
345,11,BEVERAGES,2013,880930.0
346,11,BEVERAGES,2014,1214338.0
347,11,BEVERAGES,2015,1342292.0
348,11,BEVERAGES,2016,1637906.0
349,11,BEVERAGES,2017,1063837.0
350,11,BOOKS,2013,0.0
351,11,BOOKS,2014,0.0
352,11,BOOKS,2015,0.0
353,11,BOOKS,2016,0.0
354,11,BOOKS,2017,0.0
355,11,BREAD/BAKERY,2013,202943.0
356,11,BREAD/BAKERY,2014,223409.0
357,11,BREAD/BAKERY,2015,222744.0
358,11,BREAD/BAKERY,2016,220300.0
359,11,BREAD/BAKERY,2017,151498.0
360,11,CELEBRATION,2013,0.0
361,11,CELEBRATION,2014,4287.0
362,11,CELEBRATION,2015,4013.0
363,11,CELEBRATION,2016,5528.0
364,11,CELEBRATION,2017,3245.0
365,11,CLEANING,2013,636121.0
366,11,CLEANING,2014,699285.0
367,11,CLEANING,2015,736576.0
368,11,CLEANING,2016,729070.0
369,11,CLEANING,2017,472733.0
370,11,DAIRY,2013,84808.0
371,11,DAIRY,2014,188370.0
372,11,DAIRY,2015,194627.0
373,11,DAIRY,2016,228992.0
374,11,DAIRY,2017,166891.0
375,11,DELI,2013,109162.08
376,11,DELI,2014,142621.03
377,11,DELI,2015,173084.56
378,11,DELI,2016,178750.48
379,11,DELI,2017,120952.61
380,11,EGGS,2013,33753.0
381,11,EGGS,2014,74284.0
382,11,EGGS,2015,61454.0
383,11,EGGS,2016,58140.0
384,11,EGGS,2017,37621.0
385,11,FROZEN FOODS,2013,24155.95
386,11,FROZEN FOODS,2014,37378.273
387,11,FROZEN FOODS,2015,44880.316
388,11,FROZEN FOODS,2016,43813.312
389,11,FROZEN FOODS,2017,21963.963
390,11,GROCERY I,2013,2046665.0
391,11,GROCERY I,2014,2275785.8
392,11,GROCERY I,2015,2354384.2
393,11,GROCERY I,2016,2648168.2
394,11,GROCERY I,2017,1719945.0
395,11,GROCERY II,2013,5351.0
396,11,GROCERY II,2014,6300.0
397,11,GROCERY II,2015,5880.0
398,11,GROCERY II,2016,5673.0
399,11,GROCERY II,2017,6194.0
400,11,HARDWARE,2013,253.0
401,11,HARDWARE,2014,340.0
402,11,HARDWARE,2015,231.0
403,11,HARDWARE,2016,221.0
404,11,HARDWARE,2017,186.0
405,11,HOME AND KITCHEN I,2013,0.0
406,11,HOME AND KITCHEN I,2014,7154.0
407,11,HOME AND KITCHEN I,2015,11999.0
408,11,HOME AND KITCHEN I,2016,11396.0
409,11,HOME AND KITCHEN I,2017,9053.0
410,11,HOME AND KITCHEN II,2013,0.0
411,11,HOME AND KITCHEN II,2014,3420.0
412,11,HOME AND KITCHEN II,2015,7882.0
413,11,HOME AND KITCHEN II,2016,6662.0
414,11,HOME AND KITCHEN II,2017,5443.0
415,11,HOME APPLIANCES,2013,162.0
416,11,HOME APPLIANCES,2014,176.0
417,11,HOME APPLIANCES,2015,133.0
418,11,HOME APPLIANCES,2016,116.0
419,11,HOME APPLIANCES,2017,97.0
420,11,HOME CARE,2013,0.0
421,11,HOME CARE,2014,122500.0
422,11,HOME CARE,2015,123871.0
423,11,HOME CARE,2016,185119.0
424,11,HOME CARE,2017,123339.0
425,11,LADIESWEAR,2013,0.0
426,11,LADIESWEAR,2014,3081.0
427,11,LADIESWEAR,2015,2625.0
428,11,LADIESWEAR,2016,4387.0
429,11,LADIESWEAR,2017,3118.0
430,11,LAWN AND GARDEN,2013,428.0
431,11,LAWN AND GARDEN,2014,519.0
432,11,LAWN AND GARDEN,2015,556.0
433,11,LAWN AND GARDEN,2016,486.0
434,11,LAWN AND GARDEN,2017,768.0
435,11,LINGERIE,2013,5249.0
436,11,LINGERIE,2014,4402.0
437,11,LINGERIE,2015,4146.0
438,11,LINGERIE,2016,2426.0
439,11,LINGERIE,2017,2294.0
440,11,"LIQUOR,WINE,BEER",2013,13164.0
441,11,"LIQUOR,WINE,BEER",2014,14607.0
442,11,"LIQUOR,WINE,BEER",2015,18801.0
443,11,"LIQUOR,WINE,BEER",2016,17854.0
444,11,"LIQUOR,WINE,BEER",2017,10044.0
445,11,MAGAZINES,2013,0.0
446,11,MAGAZINES,2014,43.0
447,11,MAGAZINES,2015,391.0
448,11,MAGAZINES,2016,1271.0
449,11,MAGAZINES,2017,769.0
450,11,MEATS,2013,234116.28
451,11,MEATS,2014,218293.86
452,11,MEATS,2015,221362.5
453,11,MEATS,2016,223868.23
454,11,MEATS,2017,147446.34
455,11,PERSONAL CARE,2013,113111.0
456,11,PERSONAL CARE,2014,128920.0
457,11,PERSONAL CARE,2015,146781.0
458,11,PERSONAL CARE,2016,168140.0
459,11,PERSONAL CARE,2017,103334.0
460,11,PET SUPPLIES,2013,0.0
461,11,PET SUPPLIES,2014,193.0
462,11,PET SUPPLIES,2015,286.0
463,11,PET SUPPLIES,2016,616.0
464,11,PET SUPPLIES,2017,606.0
465,11,PLAYERS AND ELECTRONICS,2013,0.0
466,11,PLAYERS AND ELECTRONICS,2014,1970.0
467,11,PLAYERS AND ELECTRONICS,2015,2410.0
468,11,PLAYERS AND ELECTRONICS,2016,5078.0
469,11,PLAYERS AND ELECTRONICS,2017,3614.0
470,11,POULTRY,2013,165122.64
471,11,POULTRY,2014,229152.42
472,11,POULTRY,2015,196582.23
473,11,POULTRY,2016,180160.75
474,11,POULTRY,2017,89552.3
475,11,PREPARED FOODS,2013,8911.0
476,11,PREPARED FOODS,2014,10441.0
477,11,PREPARED FOODS,2015,22790.61
478,11,PREPARED FOODS,2016,27752.625
479,11,PREPARED FOODS,2017,22539.264
480,11,PRODUCE,2013,0.0
481,11,PRODUCE,2014,250618.1
482,11,PRODUCE,2015,278117.75
483,11,PRODUCE,2016,470396.97
484,11,PRODUCE,2017,330716.53
485,11,SCHOOL AND OFFICE SUPPLIES,2013,0.0
486,11,SCHOOL AND OFFICE SUPPLIES,2014,1821.0
487,11,SCHOOL AND OFFICE SUPPLIES,2015,1296.0
488,11,SCHOOL AND OFFICE SUPPLIES,2016,2316.0
489,11,SCHOOL AND OFFICE SUPPLIES,2017,1240.0
490,11,SEAFOOD,2013,1835.0
491,11,SEAFOOD,2014,3412.0
492,11,SEAFOOD,2015,2742.0
493,11,SEAFOOD,2016,3680.0
494,11,SEAFOOD,2017,2337.0
495,12,AUTOMOTIVE,2013,1418.0
496,12,AUTOMOTIVE,2014,1390.0
497,12,AUTOMOTIVE,2015,1689.0
498,12,AUTOMOTIVE,2016,2069.0
499,12,AUTOMOTIVE,2017,1438.0
500,12,BABY CARE,2013,0.0
501,12,BABY CARE,2014,0.0
502,12,BABY CARE,2015,0.0
503,12,BABY CARE,2016,139.0
504,12,BABY CARE,2017,40.0
505,12,BEAUTY,2013,389.0
506,12,BEAUTY,2014,371.0
507,12,BEAUTY,2015,334.0
508,12,BEAUTY,2016,236.0
509,12,BEAUTY,2017,298.0
510,12,BEVERAGES,2013,272482.0
511,12,BEVERAGES,2014,433458.0
512,12,BEVERAGES,2015,448893.0
513,12,BEVERAGES,2016,626206.0
514,12,BEVERAGES,2017,402183.0
515,12,BOOKS,2013,0.0
516,12,BOOKS,2014,0.0
517,12,BOOKS,2015,0.0
518,12,BOOKS,2016,0.0
519,12,BOOKS,2017,0.0
520,12,BREAD/BAKERY,2013,80376.0
521,12,BREAD/BAKERY,2014,70513.0
522,12,BREAD/BAKERY,2015,58276.0
523,12,BREAD/BAKERY,2016,62886.0
524,12,BREAD/BAKERY,2017,42051.0
525,12,CELEBRATION,2013,0.0
526,12,CELEBRATION,2014,1920.0
527,12,CELEBRATION,2015,2080.0
528,12,CELEBRATION,2016,3760.0
529,12,CELEBRATION,2017,2584.0
530,12,CLEANING,2013,260779.0
531,12,CLEANING,2014,274665.0
532,12,CLEANING,2015,267192.0
533,12,CLEANING,2016,294169.0
534,12,CLEANING,2017,202902.0
535,12,DAIRY,2013,59981.0
536,12,DAIRY,2014,126595.0
537,12,DAIRY,2015,108891.0
538,12,DAIRY,2016,161563.0
539,12,DAIRY,2017,107778.0
540,12,DELI,2013,52218.0
541,12,DELI,2014,63107.0
542,12,DELI,2015,72037.0
543,12,DELI,2016,89533.0
544,12,DELI,2017,54123.0
545,12,EGGS,2013,18467.0
546,12,EGGS,2014,42513.0
547,12,EGGS,2015,24697.0
548,12,EGGS,2016,25258.0
549,12,EGGS,2017,15282.0
550,12,FROZEN FOODS,2013,10456.305
551,12,FROZEN FOODS,2014,17670.578
552,12,FROZEN FOODS,2015,19775.8
553,12,FROZEN FOODS,2016,21764.035
554,12,FROZEN FOODS,2017,10529.428
555,12,GROCERY I,2013,811539.0
556,12,GROCERY I,2014,830805.06
557,12,GROCERY I,2015,837416.3
558,12,GROCERY I,2016,1047867.5
559,12,GROCERY I,2017,680896.0
560,12,GROCERY II,2013,2648.0
561,12,GROCERY II,2014,2192.0
562,12,GROCERY II,2015,2044.0
563,12,GROCERY II,2016,2022.0
564,12,GROCERY II,2017,1779.0
565,12,HARDWARE,2013,272.0
566,12,HARDWARE,2014,448.0
567,12,HARDWARE,2015,376.0
568,12,HARDWARE,2016,319.0
569,12,HARDWARE,2017,233.0
570,12,HOME AND KITCHEN I,2013,0.0
571,12,HOME AND KITCHEN I,2014,3274.0
572,12,HOME AND KITCHEN I,2015,5688.0
573,12,HOME AND KITCHEN I,2016,4628.0
574,12,HOME AND KITCHEN I,2017,3794.0
575,12,HOME AND KITCHEN II,2013,0.0
576,12,HOME AND KITCHEN II,2014,1452.0
577,12,HOME AND KITCHEN II,2015,3867.0
578,12,HOME AND KITCHEN II,2016,4907.0
579,12,HOME AND KITCHEN II,2017,3857.0
580,12,HOME APPLIANCES,2013,101.0
581,12,HOME APPLIANCES,2014,109.0
582,12,HOME APPLIANCES,2015,58.0
583,12,HOME APPLIANCES,2016,35.0
584,12,HOME APPLIANCES,2017,70.0
585,12,HOME CARE,2013,0.0
586,12,HOME CARE,2014,40171.0
587,12,HOME CARE,2015,41783.0
588,12,HOME CARE,2016,66007.0
589,12,HOME CARE,2017,41739.0
590,12,LADIESWEAR,2013,0.0
591,12,LADIESWEAR,2014,1258.0
592,12,LADIESWEAR,2015,0.0
593,12,LADIESWEAR,2016,0.0
594,12,LADIESWEAR,2017,926.0
595,12,LAWN AND GARDEN,2013,0.0
596,12,LAWN AND GARDEN,2014,16.0
597,12,LAWN AND GARDEN,2015,0.0
598,12,LAWN AND GARDEN,2016,0.0
599,12,LAWN AND GARDEN,2017,0.0
600,12,LINGERIE,2013,3620.0
601,12,LINGERIE,2014,2533.0
602,12,LINGERIE,2015,2310.0
603,12,LINGERIE,2016,1398.0
604,12,LINGERIE,2017,1034.0
605,12,"LIQUOR,WINE,BEER",2013,13467.0
606,12,"LIQUOR,WINE,BEER",2014,15083.0
607,12,"LIQUOR,WINE,BEER",2015,12515.0
608,12,"LIQUOR,WINE,BEER",2016,15125.0
609,12,"LIQUOR,WINE,BEER",2017,8353.0
610,12,MAGAZINES,2013,0.0
611,12,MAGAZINES,2014,52.0
612,12,MAGAZINES,2015,223.0
613,12,MAGAZINES,2016,633.0
614,12,MAGAZINES,2017,351.0
615,12,MEATS,2013,51991.055
616,12,MEATS,2014,47835.91
617,12,MEATS,2015,44803.55
618,12,MEATS,2016,65684.586
619,12,MEATS,2017,36440.63
620,12,PERSONAL CARE,2013,43315.0
621,12,PERSONAL CARE,2014,46667.0
622,12,PERSONAL CARE,2015,58568.0
623,12,PERSONAL CARE,2016,71147.0
624,12,PERSONAL CARE,2017,42496.0
625,12,PET SUPPLIES,2013,0.0
626,12,PET SUPPLIES,2014,111.0
627,12,PET SUPPLIES,2015,116.0
628,12,PET SUPPLIES,2016,289.0
629,12,PET SUPPLIES,2017,356.0
630,12,PLAYERS AND ELECTRONICS,2013,0.0
631,12,PLAYERS AND ELECTRONICS,2014,898.0
632,12,PLAYERS AND ELECTRONICS,2015,1071.0
633,12,PLAYERS AND ELECTRONICS,2016,1702.0
634,12,PLAYERS AND ELECTRONICS,2017,1285.0
635,12,POULTRY,2013,36365.414
636,12,POULTRY,2014,97741.81
637,12,POULTRY,2015,63816.08
638,12,POULTRY,2016,63939.24
639,12,POULTRY,2017,38292.496
640,12,PREPARED FOODS,2013,6104.0
641,12,PREPARED FOODS,2014,7386.0
642,12,PREPARED FOODS,2015,12900.0
643,12,PREPARED FOODS,2016,20024.0
644,12,PREPARED FOODS,2017,9613.0
645,12,PRODUCE,2013,0.0
646,12,PRODUCE,2014,63560.508
647,12,PRODUCE,2015,73435.375
648,12,PRODUCE,2016,123009.625
649,12,PRODUCE,2017,82039.625
650,12,SCHOOL AND OFFICE SUPPLIES,2013,0.0
651,12,SCHOOL AND OFFICE SUPPLIES,2014,323.0
652,12,SCHOOL AND OFFICE SUPPLIES,2015,223.0
653,12,SCHOOL AND OFFICE SUPPLIES,2016,256.0
654,12,SCHOOL AND OFFICE SUPPLIES,2017,116.0
655,12,SEAFOOD,2013,773.0
656,12,SEAFOOD,2014,469.0
657,12,SEAFOOD,2015,592.0
658,12,SEAFOOD,2016,1510.0
659,12,SEAFOOD,2017,1233.0
660,13,AUTOMOTIVE,2013,1554.0
661,13,AUTOMOTIVE,2014,1957.0
662,13,AUTOMOTIVE,2015,2293.0
663,13,AUTOMOTIVE,2016,2100.0
664,13,AUTOMOTIVE,2017,1399.0
665,13,BABY CARE,2013,0.0
666,13,BABY CARE,2014,0.0
667,13,BABY CARE,2015,0.0
668,13,BABY CARE,2016,0.0
669,13,BABY CARE,2017,0.0
670,13,BEAUTY,2013,436.0
671,13,BEAUTY,2014,361.0
